STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,"057-Books, Periodicals, Subscripti","2,660",500,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,060-Benefits,756,"1,963","2,285","2,285"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,066-Employee training,0,"1,000","1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,070-In-State Travel Reimbursement,"1,180","2,500",200,200
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,080-Out-Of State Travel,0,100,100,100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Funding,00S-General Fund,"-43,111","-38,277","-45,665","-46,198"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,020-Current Expenses,"1,885","1,613","3,000","3,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,022-Rents-Leases Other Than State,390,800,800,800
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,026-Organizational Dues,0,100,100,100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,028-Transfers to Plant & Property,887,"1,143","1,457","1,184"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,030-Equipment New/Replacement,0,500,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,037-Technology - Hardware,379,600,600,600
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,038-Technology - Software,799,800,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,039-Telecommunications,"1,589","2,980","2,100","2,100"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,050-Personal Service-Temp/Appointe,"15,351","43,704","43,704","43,704"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,"057-Books, Periodicals, Subscripti",455,500,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,060-Benefits,"1,175","3,344","3,435","3,435"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,066-Employee training,0,800,800,800
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,070-In-State Travel Reimbursement,26,"4,800",300,300
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,080-Out-Of State Travel,0,"4,125","4,125","4,125"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,089-Transfer to DAS Maintenance Fu,103,103,104,104
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Expense,211-Property and Casualty Insuranc,0,374,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,50070000-MODULAR BUILDING PROGRAM,Funding,009-Agency Income,"-23,039","-66,286","-62,525","-62,252"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,010-Personal Services-Perm. Classi,"1,147,989","1,653,676","1,551,095","1,584,685"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,011-Personal Services-Unclassified,"126,503","125,491","120,562","120,562"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,018-Overtime,"122,138","160,000","160,000","160,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,019-Holiday Pay,"15,805","22,000","22,000","22,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,020-Current Expenses,"151,508","215,726","225,780","228,445"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,022-Rents-Leases Other Than State,"3,324","4,500","4,000","4,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,024-Maint.Other Than Build.- Grnds,340,"5,000","1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,026-Organizational Dues,"3,945","5,950","4,600","4,600"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,027-Transfers To Oit,"147,493","199,440","203,443","215,975"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,028-Transfers to Plant & Property,"24,612","21,329","53,096","42,869"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,029-Intra-Agency Transfers,"32,481",0,"51,976","62,147"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,030-Equipment New/Replacement,"3,154","26,000","150,000","150,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,037-Technology - Hardware,"7,220","12,200","8,000","8,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,038-Technology - Software,"4,909","10,400","9,500","9,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,039-Telecommunications,"44,316","45,400","45,600","46,100"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,046-Consultants,0,100,100,100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,048-Contractual Maint.-Build-Grnds,0,"5,000","5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,049-Transfer to Other State Agenci,0,814,"1,107","1,172"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,050-Personal Service-Temp/Appointe,"361,118","563,027","888,907","888,907"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,"057-Books, Periodicals, Subscripti","15,249","16,700","16,700","16,700"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,060-Benefits,"881,925","1,276,152","1,205,090","1,256,205"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,064-Ret-Pension Bene-Health Ins,0,"56,908",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,066-Employee training,"13,762","15,000","15,000","15,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,069-Promotional - Marketing Expens,"9,179","10,000","10,000","10,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,070-In-State Travel Reimbursement,"2,353","8,600","8,700","8,700"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,080-Out-Of State Travel,"6,190","18,300","18,400","18,400"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,089-Transfer to DAS Maintenance Fu,"3,050","1,861","3,051","3,051"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,103-Contracts for Op Services,"2,653","1,600","2,000","2,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Expense,211-Property and Casualty Insuranc,0,"7,545",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Funding,003-Revolving Funds,"-3,129,053","-4,488,719","-4,784,707","-4,885,118"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Funding,00D-Fed Rev Xfers from Other Agencies,"-2,163",0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Position,FTE1-Permanent Classified,22,22,23,23
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,66310000-FIRE SAFETY ADMINISTRATION,Position,FTE2-Unclassified Positions,1,1,1,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,020-Current Expenses,828,0,"2,500","2,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,030-Equipment New/Replacement,"21,248",0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,038-Technology - Software,"44,638",0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,039-Telecommunications,0,0,"2,500","2,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,049-Transfer to Other State Agenci,0,0,44,47
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,050-Personal Service-Temp/Appointe,0,0,"150,000",0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,059-Temp Full Time,"8,277",0,"112,444","115,444"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,060-Benefits,"4,224",0,"57,242","47,783"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,066-Employee training,0,0,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,070-In-State Travel Reimbursement,0,0,"3,500","3,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Expense,102-Contracts for program services,0,0,"15,000","15,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Funding,004-Intra-Agency Transfers,0,0,"-261,686","-102,227"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Funding,009-Agency Income,"-79,215",0,"-9,906","-10,266"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,33400000-FIRE STANDARDS & TRAINING GRANTS,Funding,00D-Fed Rev Xfers from Other Agencies,0,0,"-72,638","-75,281"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,010-Personal Services-Perm. Classi,"2,130,672","2,519,881","2,260,882","2,302,566"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,011-Personal Services-Unclassified,"108,267","125,490","114,894","120,562"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,018-Overtime,"37,229","30,000","115,000","115,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,020-Current Expenses,"189,052","306,624","343,502","353,850"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,022-Rents-Leases Other Than State,"30,638","36,563","38,500","39,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,023-Heat- Electricity - Water,"179,148","183,321","200,617","207,281"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,026-Organizational Dues,"5,378","7,000","7,750","7,750"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,027-Transfers To Oit,"207,564","337,288","342,641","363,748"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,029-Intra-Agency Transfers,"94,429",0,"136,036","164,932"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,030-Equipment New/Replacement,"20,001","67,200","176,000","151,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,037-Technology - Hardware,"9,447","30,500","48,000","48,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,038-Technology - Software,"246,339","262,433","353,636","358,732"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,039-Telecommunications,"47,788","62,500","65,000","65,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,044-Debt Service Other Agencies,"120,109","187,806","153,073","177,636"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,047-Own Forces Maint.-Build.-Grnds,"13,408","15,000","15,000","15,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,048-Contractual Maint.-Build-Grnds,"131,377","104,250","99,250","99,250"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,049-Transfer to Other State Agenci,0,"1,627","1,982","2,098"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,050-Personal Service-Temp/Appointe,"515,046","541,006","964,006","980,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,"057-Books, Periodicals, Subscripti","81,578","77,500","90,000","90,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,060-Benefits,"1,295,308","1,690,457","1,485,935","1,553,352"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,064-Ret-Pension Bene-Health Ins,0,"113,681",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,066-Employee training,"4,904","6,750","10,000","10,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,070-In-State Travel Reimbursement,"68,567","74,500","78,500","78,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,080-Out-Of State Travel,"2,525","15,500","20,250","20,950"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,102-Contracts for program services,316,"7,500","7,500","7,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,103-Contracts for Op Services,"134,267","213,400","249,416","254,750"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Expense,211-Property and Casualty Insuranc,0,"17,588",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Funding,003-Revolving Funds,"-5,673,357","-7,035,365","-7,377,370","-7,586,457"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Funding,00S-General Fund,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FST237010-FIRE STANDARDS - TRNG - EMS,010-General Fund,40650000-FIRE STANDARDS & EMS ADMINISTR,Position,FTE1-Permanent Classified,39,39,37,37
